Ref_User;Ref_User_Emotion;Ref_User_Emotion_Intensity;Eval;Eval_User_Emotion;Eval_User_Emotion_Intensity;Distance;Dimension;Emotion;Intensity;SameUser
Alpha;A;9;Alpha;A;21;0;128;Anger;Low;1
Alpha;A;10;Alpha;A;23;0;128;Anger;Low;1
Alpha;A;8;Alpha;A;20;0;128;Anger;Low;1
Alpha;A;9;Alpha;A;20;0,014;128;Anger;Low;1
Alpha;A;8;Alpha;A;21;0,014;128;Anger;Low;1
Alpha;A;9;Alpha;A;22;0,017;128;Anger;Low;1
Alpha;A;8;Alpha;A;22;0,025;128;Anger;Low;1
Alpha;A;10;Alpha;A;25;0,052;128;Anger;Low;1
Alpha;A;10;Alpha;A;22;0,056;128;Anger;Low;1
Alpha;A;9;Alpha;A;23;0,063;128;Anger;Low;1
Alpha;A;10;Alpha;A;21;0,063;128;Anger;Low;1
Alpha;A;10;Alpha;A;24;0,064;128;Anger;Low;1
Echo;H;10;Echo;H;20;0,064;128;Happiness;Low;1
Alpha;A;10;Alpha;A;20;0,068;128;Anger;Low;1
Alpha;A;8;Alpha;A;23;0,068;128;Anger;Low;1
Echo;H;9;Echo;H;20;0,069;128;Happiness;Low;1
Echo;H;10;Echo;H;21;0,075;128;Happiness;Low;1
Bravo;A;0;Bravo;H;20;0,078;128;Happiness;Low;1
Bravo;H;0;Bravo;H;20;0,078;128;Happiness;Low;1
Echo;H;8;Echo;H;20;0,078;128;Happiness;Low;1
Echo;H;7;Echo;H;20;0,078;128;Happiness;Low;1
Bravo;H;8;Bravo;H;20;0,078;128;Happiness;Low;1
Bravo;H;0;Bravo;H;21;0,079;128;Happiness;Low;1
Bravo;A;0;Bravo;H;21;0,079;128;Happiness;Low;1
Echo;H;9;Echo;H;21;0,079;128;Happiness;Low;1
Bravo;A;10;Bravo;A;20;0,08;128;Anger;Low;1
Bravo;A;7;Bravo;H;20;0,08;128;Happiness;Low;1
Bravo;H;8;Bravo;H;21;0,08;128;Happiness;Low;1
Alpha;H;10;Alpha;H;20;0,081;128;Happiness;Low;1
Bravo;A;0;Bravo;H;22;0,081;128;Happiness;Low;1
Bravo;H;0;Bravo;H;22;0,081;128;Happiness;Low;1
Bravo;A;8;Bravo;H;20;0,081;128;Happiness;Low;1
Bravo;H;7;Bravo;H;20;0,081;128;Happiness;Low;1
Alpha;A;3;Alpha;H;20;0,082;128;Happiness;Low;1
Alpha;A;3;Alpha;H;21;0,082;128;Happiness;Low;1
Bravo;H;8;Bravo;H;22;0,082;128;Happiness;Low;1
Echo;H;6;Echo;H;20;0,082;128;Happiness;Low;1
Bravo;A;7;Bravo;H;21;0,083;128;Happiness;Low;1
Bravo;H;6;Bravo;H;20;0,083;128;Happiness;Low;1
Bravo;A;9;Bravo;H;20;0,083;128;Happiness;Low;1
Echo;H;5;Echo;H;20;0,083;128;Happiness;Low;1
Bravo;H;7;Bravo;H;21;0,083;128;Happiness;Low;1
Bravo;A;10;Bravo;A;21;0,083;128;Anger;Low;1
Bravo;H;8;Bravo;H;26;0,084;128;Happiness;Low;1
Bravo;H;10;Bravo;H;20;0,084;128;Happiness;Low;1
Bravo;A;9;Bravo;A;20;0,084;128;Anger;Low;1
Bravo;A;8;Bravo;H;21;0,084;128;Happiness;Low;1
Alpha;A;3;Alpha;H;22;0,084;128;Happiness;Low;1
Alpha;H;10;Alpha;H;21;0,084;128;Happiness;Low;1
Bravo;A;10;Bravo;H;20;0,084;128;Happiness;Low;1
Bravo;H;6;Bravo;H;21;0,085;128;Happiness;Low;1
Alpha;H;9;Alpha;H;20;0,085;128;Happiness;Low;1
Bravo;H;8;Bravo;H;27;0,085;128;Happiness;Low;1
Bravo;A;10;Bravo;A;22;0,085;128;Anger;Low;1
Bravo;A;7;Bravo;H;22;0,085;128;Happiness;Low;1
Bravo;A;0;Bravo;H;26;0,085;128;Happiness;Low;1
Bravo;H;0;Bravo;H;26;0,085;128;Happiness;Low;1
Bravo;H;7;Bravo;H;22;0,085;128;Happiness;Low;1
Bravo;A;9;Bravo;H;21;0,085;128;Happiness;Low;1
Bravo;H;10;Bravo;H;21;0,085;128;Happiness;Low;1
Bravo;H;9;Bravo;H;20;0,086;128;Happiness;Low;1
Bravo;A;8;Bravo;H;22;0,086;128;Happiness;Low;1
Echo;H;10;Echo;H;22;0,086;128;Happiness;Low;1
Bravo;H;0;Bravo;H;27;0,086;128;Happiness;Low;1
Bravo;A;0;Bravo;H;27;0,086;128;Happiness;Low;1
Bravo;H;7;Bravo;H;26;0,086;128;Happiness;Low;1
Bravo;A;8;Bravo;A;20;0,087;128;Anger;Low;1
Echo;H;7;Echo;H;21;0,087;128;Happiness;Low;1
Echo;H;8;Echo;H;21;0,087;128;Happiness;Low;1
Bravo;H;6;Bravo;H;22;0,087;128;Happiness;Low;1
Bravo;A;10;Bravo;H;21;0,087;128;Happiness;Low;1
Alpha;H;10;Alpha;H;22;0,087;128;Happiness;Low;1
Alpha;A;3;Alpha;H;23;0,087;128;Happiness;Low;1
Bravo;A;9;Bravo;A;21;0,087;128;Anger;Low;1
Bravo;A;10;Bravo;A;23;0,087;128;Anger;Low;1
Bravo;H;9;Bravo;H;21;0,087;128;Happiness;Low;1
Bravo;A;9;Bravo;H;22;0,087;128;Happiness;Low;1
Bravo;H;10;Bravo;H;22;0,088;128;Happiness;Low;1
Alpha;H;9;Alpha;H;21;0,088;128;Happiness;Low;1
Bravo;H;7;Bravo;H;27;0,088;128;Happiness;Low;1
Bravo;H;6;Bravo;H;26;0,088;128;Happiness;Low;1
Charlie;H;10;Charlie;H;21;0,089;128;Happiness;Low;1
Bravo;A;10;Bravo;H;22;0,089;128;Happiness;Low;1
Bravo;H;10;Bravo;H;26;0,089;128;Happiness;Low;1
Echo;H;5;Echo;H;21;0,089;128;Happiness;Low;1
Alpha;A;3;Alpha;H;24;0,089;128;Happiness;Low;1
Bravo;A;9;Bravo;A;22;0,089;128;Anger;Low;1
Echo;H;10;Echo;H;23;0,089;128;Happiness;Low;1
Bravo;H;6;Bravo;H;27;0,09;128;Happiness;Low;1
Bravo;H;9;Bravo;H;22;0,09;128;Happiness;Low;1
Echo;H;6;Echo;H;21;0,09;128;Happiness;Low;1
Bravo;A;7;Bravo;H;26;0,09;128;Happiness;Low;1
Bravo;A;7;Bravo;A;20;0,09;128;Anger;Low;1
Echo;H;9;Echo;H;22;0,09;128;Happiness;Low;1
Alpha;A;3;Alpha;H;25;0,09;128;Happiness;Low;1
Bravo;H;10;Bravo;H;27;0,09;128;Happiness;Low;1
Alpha;H;8;Alpha;H;20;0,09;128;Happiness;Low;1
Alpha;A;4;Alpha;H;21;0,09;128;Happiness;Low;1
Bravo;A;8;Bravo;A;21;0,091;128;Anger;Low;1
Bravo;A;8;Bravo;H;26;0,091;128;Happiness;Low;1
Alpha;H;9;Alpha;H;22;0,091;128;Happiness;Low;1
Bravo;H;9;Bravo;H;26;0,091;128;Happiness;Low;1
Alpha;A;4;Alpha;H;22;0,091;128;Happiness;Low;1
Charlie;H;10;Charlie;H;20;0,092;128;Happiness;Low;1
Bravo;A;6;Bravo;H;20;0,092;128;Happiness;Low;1
Bravo;A;9;Bravo;A;23;0,092;128;Anger;Low;1
Alpha;H;10;Alpha;H;23;0,092;128;Happiness;Low;1
Alpha;A;4;Alpha;H;20;0,092;128;Happiness;Low;1
Echo;H;10;Echo;H;25;0,092;128;Happiness;Low;1
