Ref_User;Ref_User_Emotion;Ref_User_Emotion_Percentage;Eval;Eval_User_Emotion;Eval_User_Emotion_Percentage;Emotion;Intensity;Dimension;Distance;Within_User
Alpha;A;9;Alpha;A;21;Anger;Low;128;0;1
Alpha;A;10;Alpha;A;23;Anger;Low;128;0;1
Alpha;A;8;Alpha;A;20;Anger;Low;128;0;1
Alpha;A;9;Alpha;A;20;Anger;Low;128;0.014;1
Alpha;A;8;Alpha;A;21;Anger;Low;128;0.014;1
Alpha;A;9;Alpha;A;22;Anger;Low;128;0.017;1
Alpha;A;8;Alpha;A;22;Anger;Low;128;0.025;1
Alpha;A;10;Alpha;A;25;Anger;Low;128;0.052;1
Alpha;A;10;Alpha;A;22;Anger;Low;128;0.056;1
Alpha;A;9;Alpha;A;23;Anger;Low;128;0.063;1
Alpha;A;10;Alpha;A;21;Anger;Low;128;0.063;1
Alpha;A;10;Alpha;A;24;Anger;Low;128;0.064;1
Echo;H;10;Echo;H;20;Happiness;Low;128;0.064;1
Alpha;A;10;Alpha;A;20;Anger;Low;128;0.068;1
Alpha;A;8;Alpha;A;23;Anger;Low;128;0.068;1
Echo;H;9;Echo;H;20;Happiness;Low;128;0.069;1
Echo;H;10;Echo;H;21;Happiness;Low;128;0.075;1
Bravo;A;0;Bravo;H;20;Happiness;Low;128;0.078;1
Bravo;H;0;Bravo;H;20;Happiness;Low;128;0.078;1
Echo;H;8;Echo;H;20;Happiness;Low;128;0.078;1
Echo;H;7;Echo;H;20;Happiness;Low;128;0.078;1
Bravo;H;8;Bravo;H;20;Happiness;Low;128;0.078;1
Bravo;H;0;Bravo;H;21;Happiness;Low;128;0.079;1
Bravo;A;0;Bravo;H;21;Happiness;Low;128;0.079;1
Echo;H;9;Echo;H;21;Happiness;Low;128;0.079;1
Bravo;A;10;Bravo;A;20;Anger;Low;128;0.08;1
Bravo;A;7;Bravo;H;20;Happiness;Low;128;0.08;1
Bravo;H;8;Bravo;H;21;Happiness;Low;128;0.08;1
Alpha;H;10;Alpha;H;20;Happiness;Low;128;0.081;1
Bravo;A;0;Bravo;H;22;Happiness;Low;128;0.081;1
Bravo;H;0;Bravo;H;22;Happiness;Low;128;0.081;1
Bravo;A;8;Bravo;H;20;Happiness;Low;128;0.081;1
Bravo;H;7;Bravo;H;20;Happiness;Low;128;0.081;1
Alpha;A;3;Alpha;H;20;Happiness;Low;128;0.082;1
Alpha;A;3;Alpha;H;21;Happiness;Low;128;0.082;1
Bravo;H;8;Bravo;H;22;Happiness;Low;128;0.082;1
Echo;H;6;Echo;H;20;Happiness;Low;128;0.082;1
Bravo;A;7;Bravo;H;21;Happiness;Low;128;0.083;1
Bravo;H;6;Bravo;H;20;Happiness;Low;128;0.083;1
Bravo;A;9;Bravo;H;20;Happiness;Low;128;0.083;1
Echo;H;5;Echo;H;20;Happiness;Low;128;0.083;1
Bravo;H;7;Bravo;H;21;Happiness;Low;128;0.083;1
Bravo;A;10;Bravo;A;21;Anger;Low;128;0.083;1
Bravo;H;8;Bravo;H;26;Happiness;Low;128;0.084;1
Bravo;H;10;Bravo;H;20;Happiness;Low;128;0.084;1
Bravo;A;9;Bravo;A;20;Anger;Low;128;0.084;1
